iter	Passed	Remaining
0	0	744
1	2	1144
2	2	939
3	3	828
4	3	781
5	4	741
6	5	724
7	5	709
8	6	689
9	6	672
10	7	658
11	7	647
12	8	637
13	8	630
14	9	620
15	9	608
16	10	601
17	10	597
18	11	597
19	12	594
20	12	588
21	13	582
22	13	577
23	14	572
24	14	571
25	15	570
26	15	574
27	16	572
28	17	581
29	17	578
30	18	579
31	19	576
32	19	575
33	20	575
34	21	584
35	21	580
36	22	578
37	22	576
38	23	579
39	24	581
40	24	581
41	25	581
42	26	579
43	26	577
44	27	576
45	27	575
46	28	573
47	28	571
48	29	573
49	30	574
50	30	574
51	31	573
52	31	570
53	32	569
54	33	580
55	34	581
56	35	587
57	36	590
58	37	590
59	37	591
60	38	592
61	39	593
62	39	593
63	40	594
64	41	596
65	42	596
66	42	596
67	43	597
68	44	597
69	44	596
70	45	596
71	46	598
72	47	598
73	48	600
74	48	601
75	49	601
76	50	601
77	50	600
78	51	600
79	52	604
80	53	603
81	54	606
82	54	607
83	55	607
84	56	607
85	57	607
86	57	606
87	58	607
88	59	604
89	59	606
90	60	606
91	61	606
92	62	606
93	62	605
94	63	605
95	64	604
96	64	604
97	65	600
98	65	599
99	66	600
100	67	600
101	68	599
102	68	598
103	69	596
104	69	594
105	70	593
106	70	591
107	71	589
108	72	588
109	72	590
110	73	589
111	74	588
112	75	589
113	75	588
114	76	587
115	76	585
116	77	584
117	78	583
118	78	583
119	79	583
120	80	582
121	80	582
122	81	579
123	81	578
124	82	576
125	83	575
126	83	573
127	84	577
128	85	578
129	86	577
130	86	577
131	87	576
132	88	574
133	88	573
134	89	572
135	89	571
136	90	569
137	91	569
138	91	569
139	92	568
140	93	568
141	93	567
142	94	566
143	95	564
144	95	563
145	96	562
146	96	560
147	97	559
148	97	557
149	98	556
150	98	555
151	99	554
152	99	553
153	100	552
154	101	551
155	101	550
156	102	550
157	103	549
158	103	548
159	104	547
160	105	547
161	105	547
162	106	546
163	107	545
164	107	544
165	108	543
166	108	542
167	109	541
168	110	542
169	111	542
170	111	542
171	112	541
172	113	540
173	113	539
174	114	538
175	114	537
176	115	536
177	116	536
178	116	536
179	117	535
180	118	534
181	118	533
182	119	532
183	119	531
184	120	530
185	120	529
186	121	528
187	122	527
188	122	527
189	123	526
190	124	525
191	124	524
192	125	523
193	125	523
194	126	522
195	126	520
196	127	520
197	128	519
198	129	519
199	129	517
200	130	517
201	130	516
202	131	515
203	131	514
204	132	513
205	132	512
206	133	510
207	134	510
208	134	509
209	135	508
210	135	507
211	136	506
212	136	505
213	137	504
214	137	503
215	138	502
216	138	501
217	139	499
218	139	498
219	140	498
220	141	497
221	141	496
222	142	495
223	142	494
224	143	493
225	144	493
226	144	491
227	144	490
228	145	489
229	146	488
